solution_id,num_clusters_f2,disagreement_f1
solution_1057,62,678.500000000001
solution_1056,62,678.500000000001
solution_1055,62,678.500000000001
solution_1054,62,678.500000000001
solution_1053,62,678.500000000001
solution_1052,62,678.500000000001
solution_1059,62,678.500000000001
solution_634,62,678.500000000001
solution_1267,62,678.500000000001
solution_632,62,678.500000000001
solution_218,62,678.500000000001
solution_217,62,678.500000000001
solution_216,62,678.500000000001
solution_215,62,678.500000000001
solution_214,62,678.500000000001
solution_213,62,678.500000000001
solution_212,62,678.500000000001
solution_211,62,678.500000000001
solution_210,62,678.500000000001
solution_209,62,678.500000000001
solution_208,62,678.500000000001
solution_207,62,678.500000000001
solution_206,62,678.500000000001
solution_205,62,678.500000000001
solution_204,62,678.500000000001
solution_219,62,678.500000000001
solution_220,62,678.500000000001
solution_221,62,678.500000000001
solution_222,62,678.500000000001
solution_238,62,678.500000000001
solution_237,62,678.500000000001
solution_236,62,678.500000000001
solution_235,62,678.500000000001
solution_234,62,678.500000000001
solution_233,62,678.500000000001
solution_232,62,678.500000000001
solution_203,62,678.500000000001
solution_231,62,678.500000000001
solution_229,62,678.500000000001
solution_228,62,678.500000000001
solution_227,62,678.500000000001
solution_226,62,678.500000000001
solution_225,62,678.500000000001
solution_224,62,678.500000000001
solution_223,62,678.500000000001
solution_230,62,678.500000000001
solution_239,62,678.500000000001
solution_202,62,678.500000000001
solution_200,62,678.500000000001
solution_179,62,678.500000000001
solution_178,62,678.500000000001
solution_177,62,678.500000000001
solution_176,62,678.500000000001
solution_175,62,678.500000000001
solution_174,62,678.500000000001
solution_173,62,678.500000000001
solution_172,62,678.500000000001
solution_171,62,678.500000000001
solution_170,62,678.500000000001
solution_169,62,678.500000000001
solution_168,62,678.500000000001
solution_167,62,678.500000000001
solution_166,62,678.500000000001
solution_165,62,678.500000000001
solution_180,62,678.500000000001
solution_181,62,678.500000000001
solution_182,62,678.500000000001
solution_183,62,678.500000000001
solution_199,62,678.500000000001
solution_198,62,678.500000000001
solution_197,62,678.500000000001
solution_196,62,678.500000000001
solution_195,62,678.500000000001
solution_194,62,678.500000000001
solution_193,62,678.500000000001
solution_201,62,678.500000000001
solution_192,62,678.500000000001
solution_190,62,678.500000000001
solution_189,62,678.500000000001
solution_188,62,678.500000000001
solution_187,62,678.500000000001
solution_186,62,678.500000000001
solution_185,62,678.500000000001
solution_184,62,678.500000000001
solution_191,62,678.500000000001
solution_240,62,678.500000000001
solution_241,62,678.500000000001
solution_242,62,678.500000000001
solution_297,62,678.500000000001
solution_296,62,678.500000000001
solution_295,62,678.500000000001
solution_294,62,678.500000000001
solution_293,62,678.500000000001
solution_292,62,678.500000000001
solution_291,62,678.500000000001
solution_290,62,678.500000000001
solution_289,62,678.500000000001
solution_288,62,678.500000000001
solution_287,62,678.500000000001
solution_286,62,678.500000000001
solution_285,62,678.500000000001
solution_284,62,678.500000000001
solution_283,62,678.500000000001
solution_298,62,678.500000000001
solution_299,62,678.500000000001
solution_300,62,678.500000000001
solution_301,62,678.500000000001
solution_317,62,678.500000000001
solution_1266,62,678.500000000001
solution_315,62,678.500000000001
solution_314,62,678.500000000001
solution_313,62,678.500000000001
solution_312,62,678.500000000001
solution_311,62,678.500000000001
solution_282,62,678.500000000001
solution_310,62,678.500000000001
solution_308,62,678.500000000001
solution_307,62,678.500000000001
solution_306,62,678.500000000001
solution_305,62,678.500000000001
solution_304,62,678.500000000001
solution_303,62,678.500000000001
solution_302,62,678.500000000001
solution_309,62,678.500000000001
solution_281,62,678.500000000001
solution_280,62,678.500000000001
solution_279,62,678.500000000001
solution_258,62,678.500000000001
solution_257,62,678.500000000001
solution_256,62,678.500000000001
solution_255,62,678.500000000001
solution_254,62,678.500000000001
solution_253,62,678.500000000001
solution_252,62,678.500000000001
solution_259,62,678.500000000001
solution_251,62,678.500000000001
solution_249,62,678.500000000001
solution_248,62,678.500000000001
solution_247,62,678.500000000001
solution_246,62,678.500000000001
solution_245,62,678.500000000001
solution_244,62,678.500000000001
solution_243,62,678.500000000001
solution_250,62,678.500000000001
solution_164,62,678.500000000001
solution_260,62,678.500000000001
solution_262,62,678.500000000001
solution_278,62,678.500000000001
solution_277,62,678.500000000001
solution_276,62,678.500000000001
solution_275,62,678.500000000001
solution_274,62,678.500000000001
solution_273,62,678.500000000001
solution_272,62,678.500000000001
solution_261,62,678.500000000001
solution_271,62,678.500000000001
solution_269,62,678.500000000001
solution_268,62,678.500000000001
solution_267,62,678.500000000001
solution_266,62,678.500000000001
solution_265,62,678.500000000001
solution_264,62,678.500000000001
solution_263,62,678.500000000001
solution_270,62,678.500000000001
solution_318,62,678.500000000001
solution_163,62,678.500000000001
solution_161,62,678.500000000001
solution_61,62,678.500000000001
solution_60,62,678.500000000001
solution_59,62,678.500000000001
solution_58,62,678.500000000001
solution_57,62,678.500000000001
solution_56,62,678.500000000001
solution_55,62,678.500000000001
solution_54,62,678.500000000001
solution_53,62,678.500000000001
solution_52,62,678.500000000001
solution_51,62,678.500000000001
solution_50,62,678.500000000001
solution_49,62,678.500000000001
solution_48,62,678.500000000001
solution_47,62,678.500000000001
solution_62,62,678.500000000001
solution_63,62,678.500000000001
solution_64,62,678.500000000001
solution_65,62,678.500000000001
solution_81,62,678.500000000001
solution_80,62,678.500000000001
solution_79,62,678.500000000001
solution_78,62,678.500000000001
solution_77,62,678.500000000001
solution_76,62,678.500000000001
solution_75,62,678.500000000001
solution_46,62,678.500000000001
solution_74,62,678.500000000001
solution_72,62,678.500000000001
solution_71,62,678.500000000001
solution_70,62,678.500000000001
solution_69,62,678.500000000001
solution_68,62,678.500000000001
solution_67,62,678.500000000001
solution_66,62,678.500000000001
solution_73,62,678.500000000001
solution_82,62,678.500000000001
solution_45,62,678.500000000001
solution_43,62,678.500000000001
solution_22,62,678.500000000001
solution_21,62,678.500000000001
solution_20,62,678.500000000001
solution_19,62,678.500000000001
solution_18,62,678.500000000001
solution_17,62,678.500000000001
solution_16,62,678.500000000001
solution_15,62,678.500000000001
